,,liang:UpperBody1,,,liang:UpperBody2,,,liang:UpperBody3,,,liang:UpperBody4,,,liang:UpperBody5,,,liang:UpperBody6,,,liang:UpperBody7,,,liang:UpperArmLeft1,,,liang:UpperArmLeft2,,,liang:UpperArmLeft3,,,liang:UpperArmRight1,,,liang:UpperArmRight2,,,liang:UpperArmRight3,,,liang:LowerArmRight2,,,liang:LowerArmRight3,,,liang:LowerArmLeft2,,,liang:LowerArmLeft3,,,liang:Head1,,,liang:Head2,,,liang:ThighLeft2,,,liang:ThighLeft3,,,liang:ThighLeft4,,,liang:ThighRight2,,,liang:ThighRight3,,,liang:ThighRight4,,,liang:LowerLegRight3,,,liang:LowerLegRight4,,,liang:LowerLegLeft3,,,liang:LowerLegLeft4,,,liang:FeetLeft2,,,liang:FeetLeft3,,,liang:FeetRight2,,,liang:FeetRight3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
560,0,-286.406,-111.676,792.978,-77.0781,-81.9923,819.587,-155.281,-112.448,744.667,-204.935,147.504,730.069,-145.435,-84.0408,614.332,-363.993,179.108,429.155,-7.80873,229.349,434.748,-346.999,-17.3374,898.259,-474.594,-113.149,907.417,-538.525,-246.595,989.572,-56.4193,27.1186,914.638,78.6548,-25.139,993.668,171.232,-115.337,1071.08,173.315,-176.062,1173.01,189.97,-287.084,1278.46,-520.376,-274.993,1103.21,-481.079,-363.096,1214.87,-210.119,-203.462,1062.76,-102.135,-184.44,1068.96,-400.582,40.6864,359.824,-417.725,-253.044,307.921,-307.022,-298.574,327.859,73.5785,78.6398,327.753,127.924,-210.973,304.858,21.3806,-272.184,310.687,92.1362,-62.9421,223.265,-23.9004,130.03,74.7933,-400.668,-116.776,184.258,-336.263,83.8928,69.1473,-389.651,-3.84464,18.6649,-260.958,155.562,31.9001,78.6988,48.6462,19.2914,-87.6358,179.3,39.8517
561,0,-286.53,-111.819,791.84,-77.1799,-82.347,818.559,-155.199,-112.538,743.336,-204.794,147.309,729.02,-145.585,-84.2304,613.506,-364.211,178.862,428.134,-7.84045,229.023,433.652,-346.855,-17.7137,897.35,-474.486,-113.386,906.266,-538.643,-246.815,988.023,-56.107,26.703,913.531,78.69,-25.5866,992.661,171.434,-115.792,1070.05,173.075,-176.63,1171.69,189.814,-287.601,1277.37,-520.196,-275.381,1102.13,-480.796,-363.706,1213.54,-210.019,-203.775,1061.3,-102.184,-184.829,1067.93,-400.622,40.4605,358.928,-419.081,-256.016,308.017,-306.883,-298.794,327.513,73.6664,78.2422,326.998,128.038,-211.305,304.54,21.4845,-272.59,310.187,92.4723,-63.289,223.139,-23.6265,130.099,74.8864,-400.862,-117.2,183.958,-336.295,83.8309,69.1339,-389.585,-3.90606,18.6981,-260.945,155.546,31.8888,78.6532,48.5574,19.3307,-87.4899,179.484,40.0943
562,0,-286.314,-111.974,790.902,-77.2618,-82.2869,817.414,-154.942,-112.767,742.832,-204.689,146.843,727.922,-145.529,-84.518,612.343,-364.007,178.613,426.919,-7.98757,228.937,432.891,-346.688,-17.9003,896.487,-474.477,-113.759,905.301,-538.554,-247.513,987.367,-55.9532,26.4986,912.613,78.9349,-26.1075,991.638,171.326,-116.363,1068.77,173.28,-176.872,1170.61,189.887,-288.393,1276.08,-520.127,-275.947,1100.89,-480.652,-363.963,1212.1,-210.144,-204.237,1060.35,-101.891,-185.374,1066.52,-400.549,40.342,358.172,-418.923,-256.297,307.707,-306.767,-298.989,327.078,73.465,77.9923,326.418,128.114,-211.678,304.248,21.5007,-272.903,309.822,92.9181,-63.5863,223.059,-23.6203,130.062,74.8883,-400.898,-117.54,183.694,-336.325,83.6991,69.1282,-389.6,-3.94876,18.6595,-261.018,155.586,32.0285,78.6099,48.527,19.2994,-87.4227,179.478,40.2078
563,0,-286.369,-112.05,789.897,-76.9078,-82.5212,816.551,-155.138,-113.013,741.481,-204.728,146.746,727.127,-145.481,-84.7126,611.644,-364.17,178.599,426.175,-7.92486,228.912,432.208,-346.77,-18.3496,895.342,-474.396,-114.024,904.452,-538.048,-247.422,986.022,-55.969,26.141,911.579,78.801,-26.469,990.733,171.422,-116.679,1067.66,173.135,-177.501,1169.42,190.08,-289.025,1274.81,-520.026,-276.363,1099.93,-480.457,-364.751,1211.11,-210.244,-204.688,1059.1,-102.036,-185.774,1065.74,-400.481,39.9697,357.281,-418.89,-256.566,307.499,-306.525,-299.286,326.65,73.6262,77.8168,326.042,128.178,-212.032,304.086,21.5337,-273.011,309.574,93.0722,-63.7589,222.927,-23.5225,130.045,74.9909,-400.809,-117.641,183.439,-336.331,83.5925,69.1202,-389.521,-4.00899,18.606,-261.117,155.53,32.1081,78.5872,48.4575,19.2933,-87.3987,179.442,40.275
564,0,-286.315,-112.301,788.928,-77.0701,-82.7957,815.595,-155.021,-113.141,740.587,-204.604,146.452,726.197,-145.606,-85.0462,610.484,-364.32,178.352,425.229,-7.8948,228.85,431.339,-346.537,-18.5292,894.518,-474.351,-114.354,903.506,-538.053,-247.867,985.082,-55.9828,25.9607,910.806,79.024,-26.7705,989.753,171.536,-117.071,1067.06,173.396,-178.076,1168.52,190.33,-289.664,1273.86,-519.894,-276.791,1099,-480.468,-365.357,1209.98,-210.116,-204.996,1058.07,-101.707,-186.026,1064.63,-400.42,39.842,356.661,-418.948,-256.977,307.193,-306.652,-299.461,326.369,73.6367,77.6449,325.38,128.29,-212.277,303.958,21.6014,-273.283,309.428,93.0833,-63.9242,222.809,-23.611,129.973,74.9918,-400.907,-117.708,182.997,-336.408,83.4315,69.1482,-389.46,-4.11235,18.6353,-261.185,155.505,32.1656,78.516,48.3567,19.3605,-87.502,179.373,40.3481
565,0,-286.268,-112.646,787.917,-76.9122,-83.1297,814.585,-155.296,-113.447,739.735,-204.313,146.004,725.188,-145.614,-85.4287,609.894,-364.342,178.214,424.422,-7.94553,228.637,430.402,-346.161,-18.788,893.715,-474.272,-114.867,902.703,-537.857,-248.18,984.19,-55.9357,25.5548,909.865,79.0203,-26.9478,988.838,171.396,-117.423,1066.13,173.397,-178.58,1167.83,190.651,-290.221,1272.79,-519.683,-277.245,1097.98,-480.173,-365.974,1208.91,-210.075,-205.395,1057.14,-101.652,-186.517,1063.48,-400.448,39.6446,356.222,-418.993,-257.177,306.933,-306.736,-299.649,326.204,73.674,77.5163,324.855,128.289,-212.477,303.744,21.5768,-273.534,309.289,93.0091,-64.121,222.627,-23.6471,129.834,75.0378,-400.957,-117.781,182.743,-336.444,83.2902,69.2069,-389.436,-4.19125,18.6594,-261.146,155.518,32.2386,78.377,48.2932,19.4531,-87.6485,179.299,40.4218
566,0,-286.123,-113.017,787.164,-76.748,-83.571,813.651,-155.436,-113.55,738.671,-204.425,145.686,724.666,-145.559,-85.3472,608.924,-364.187,178.273,423.805,-8.15528,228.697,429.756,-346.343,-19.3141,892.764,-474.081,-115.213,901.876,-537.702,-248.677,983.579,-55.801,25.4147,909.022,78.8987,-27.2894,988.271,171.643,-117.766,1065.33,173.372,-179.153,1166.94,190.534,-290.624,1271.98,-519.562,-277.497,1097.08,-480.098,-366.608,1207.97,-210.036,-205.473,1056.1,-101.756,-187.056,1062.68,-400.476,39.5626,355.689,-419.054,-257.433,306.799,-306.824,-299.785,326.076,73.607,77.3816,324.38,128.286,-212.651,303.665,21.6149,-273.732,309.281,92.7235,-64.2786,222.346,-23.7707,129.714,75.0258,-401.187,-117.946,182.455,-336.485,83.1641,69.286,-389.36,-4.21157,18.6465,-261.15,155.414,32.3619,78.3143,48.1989,19.4545,-87.646,179.18,40.4743
567,0,-285.791,-113.288,786.334,-76.7744,-83.7297,812.864,-155.383,-113.859,737.878,-204.389,145.688,724.07,-145.521,-85.5935,608.101,-364.16,178.083,423.076,-8.02688,228.792,429.247,-346.135,-19.5877,892.082,-473.896,-115.58,901.218,-537.761,-249.112,982.597,-55.7684,25.0653,908.167,78.7174,-27.9177,987.381,171.304,-118.22,1064.45,173.312,-179.533,1166.01,190.764,-291.024,1271.24,-519.377,-278.131,1096.32,-480.361,-367.114,1207.26,-210.053,-206.123,1055.2,-101.765,-187.541,1061.98,-400.343,39.463,355.271,-419.146,-257.384,306.608,-306.972,-299.917,326.011,73.7826,77.2808,323.925,128.265,-212.76,303.519,21.6419,-273.91,309.29,92.4174,-64.351,221.992,-23.9112,129.595,75.0412,-401.319,-117.976,182.301,-336.487,83.0883,69.3209,-389.399,-4.27304,18.6626,-261.066,155.436,32.4899,78.2201,48.1256,19.4836,-87.7067,179.136,40.515
568,0,-285.661,-113.775,785.513,-76.4711,-83.9444,811.979,-155.316,-114.121,737.066,-204.433,145.524,723.187,-145.304,-85.7085,607.568,-364.148,177.909,422.425,-7.892,228.77,428.592,-345.798,-19.812,891.296,-473.769,-115.975,900.365,-537.616,-249.444,981.545,-55.9555,24.6553,907.448,78.6358,-28.1951,986.658,171.275,-118.638,1063.9,173.212,-179.995,1165.32,190.438,-291.389,1270.36,-519.457,-278.66,1095.49,-480.457,-367.575,1206.63,-210.183,-206.46,1054.75,-102.059,-188.164,1060.99,-400.28,39.4046,354.836,-419.424,-257.537,306.469,-307.173,-300.048,325.917,73.8597,77.243,323.465,128.35,-212.838,303.428,21.6598,-274.096,309.204,92.5003,-64.4243,221.975,-24.0099,129.516,74.9689,-401.399,-117.922,182.198,-336.566,83.1292,69.4485,-389.405,-4.22796,18.6119,-261.043,155.434,32.4673,78.204,48.1423,19.4824,-87.8459,179.069,40.4906
569,0,-285.572,-114.083,784.85,-76.392,-84.2171,811.215,-155.263,-114.246,736.337,-204.453,145.14,722.452,-145.329,-86.008,606.89,-364.27,177.982,421.876,-8.00384,228.803,427.878,-345.87,-20.305,890.562,-473.745,-116.46,899.493,-537.495,-250.157,980.794,-55.8005,24.3591,906.956,78.6855,-28.612,985.969,170.965,-119.12,1063.05,173.336,-180.179,1164.75,190.236,-291.765,1269.59,-519.353,-279.026,1094.44,-480.363,-368.151,1205.56,-209.91,-207.049,1053.86,-101.96,-188.535,1060.23,-400.202,39.4237,354.51,-419.625,-257.625,306.305,-307.385,-300.2,325.825,73.597,77.1024,322.957,128.409,-212.93,303.287,21.7836,-274.178,309.097,93.14,-64.5394,222.273,-24.0539,129.473,74.9489,-401.511,-117.913,182.073,-336.623,83.1507,69.4231,-389.417,-4.2396,18.5631,-261.071,155.42,32.5169,78.1048,48.0642,19.4574,-87.8156,179.066,40.5097
570,0,-285.466,-114.292,784.132,-76.5087,-84.4242,810.693,-154.244,-114.442,735.942,-204.402,144.985,722.151,-145.362,-86.1097,606.198,-364.31,178.142,421.52,-7.91364,228.64,427.303,-345.878,-20.6476,889.942,-473.579,-116.876,898.729,-537.252,-250.899,980.156,-56.0191,24.0167,906.394,78.7053,-28.9561,985.418,170.836,-119.531,1062.41,173.143,-180.436,1163.84,190.462,-292.013,1269.2,-519.182,-279.642,1093.63,-480.334,-368.299,1204.85,-210.091,-207.252,1053.1,-102.028,-188.958,1059.72,-400.137,39.4629,354.202,-419.727,-257.51,306.129,-307.426,-300.244,325.748,74.4103,77.1299,323.12,128.472,-213.026,303.207,21.8744,-274.259,308.893,92.9726,-64.6177,221.941,-24.0664,129.452,74.9467,-401.656,-117.937,181.994,-336.73,83.2052,69.4297,-389.43,-4.19695,18.5358,-261.168,155.45,32.6128,78.0255,48.0842,19.4444,-87.8689,179.1,40.543
571,0,-285.267,-114.468,783.518,-76.5013,-84.58,810.151,-155.005,-114.567,735.125,-204.352,144.871,721.956,-146.066,-86.1559,605.186,-364.316,178.192,421.352,-7.98328,228.685,426.759,-345.908,-21.0835,889.372,-473.636,-117.414,898.006,-537.521,-251.511,979.462,-55.8299,23.7114,905.744,78.6286,-29.1861,984.872,170.967,-119.74,1061.74,173.224,-180.908,1163.16,190.226,-292.429,1268.38,-519.423,-280.365,1093.03,-480.497,-368.838,1204.06,-209.828,-207.738,1052.36,-101.908,-189.529,1058.96,-400.16,39.554,353.955,-419.834,-257.656,306.17,-307.497,-300.259,325.722,74.7674,77.0855,323.086,128.511,-213.106,303.087,21.9744,-274.316,308.727,93.3116,-64.6693,222.134,-24.0889,129.427,74.9236,-401.706,-117.99,182.015,-336.777,83.251,69.4593,-389.476,-4.17526,18.5523,-261.204,155.418,32.6148,78.062,48.0632,19.4558,-87.9252,179.14,40.5618
572,0,-285.208,-114.619,782.963,-76.4578,-84.8152,809.724,-154.541,-114.943,734.499,-204.334,144.594,721.51,-145.289,-86.3778,604.939,-364.223,178.34,421.046,-8.04626,228.687,426.52,-346.164,-21.3932,888.938,-473.551,-117.855,897.25,-537.226,-251.907,978.327,-56.1106,23.3498,905.213,78.6719,-29.4935,984.403,171.212,-120.086,1061.27,173.237,-181.256,1162.79,190.156,-292.748,1267.84,-519.533,-280.906,1092.36,-480.25,-369.263,1203.18,-209.981,-208.233,1051.93,-101.63,-190.035,1058.38,-400.234,39.5744,353.742,-419.892,-257.715,306.149,-307.556,-300.286,325.715,74.6542,76.992,322.777,128.468,-213.179,303.045,21.9236,-274.373,308.604,93.3366,-64.7243,222.045,-24.1746,129.379,74.8548,-401.786,-118.068,181.965,-336.848,83.3039,69.5908,-389.464,-4.1858,18.4832,-261.168,155.443,32.7067,77.9997,48.0757,19.425,-87.9383,179.099,40.5467
573,0,-285.355,-114.974,782.428,-76.5802,-85.2258,809.268,-154.539,-115.175,734.023,-204.449,144.376,721.217,-144.981,-86.3381,604.574,-364.163,178.368,420.814,-8.00465,228.665,426.349,-346.242,-21.7327,888.491,-473.608,-118.265,896.68,-537.09,-252.175,977.657,-56.2275,22.9977,904.854,78.8357,-29.7361,984.031,171.149,-120.317,1060.87,173.14,-181.623,1162.42,190.181,-293.353,1267.07,-519.472,-281.316,1091.48,-480.266,-369.928,1202.67,-210.125,-208.864,1051.41,-101.42,-190.492,1057.97,-400.24,39.5832,353.575,-419.964,-257.696,306.189,-307.618,-300.307,325.794,74.5096,76.9844,322.511,128.432,-213.22,303.006,21.8855,-274.433,308.544,93.257,-64.7922,221.994,-24.1315,129.347,74.8541,-401.875,-118.114,181.99,-336.862,83.3133,69.5808,-389.447,-4.25277,18.525,-261.173,155.339,32.7871,77.9763,48.053,19.4453,-87.9154,179.111,40.6225
574,0,-285.262,-115.168,781.865,-76.417,-85.75,808.801,-154.401,-115.196,733.711,-204.479,144.163,720.92,-144.973,-86.5481,604.428,-364.227,178.37,420.503,-8.09454,228.647,426.144,-346.105,-22.2115,888.026,-473.384,-118.655,895.885,-537.397,-252.614,977.117,-56.2954,22.8159,904.725,78.7595,-30.0226,983.66,171.216,-120.613,1060.53,173.143,-181.968,1162.08,190.436,-293.706,1266.8,-519.449,-281.702,1090.85,-480.34,-370.538,1201.91,-210.134,-209.207,1050.76,-101.404,-190.919,1057.31,-400.322,39.6321,353.412,-420.038,-257.688,306.19,-307.641,-300.284,325.891,74.6762,76.9408,322.536,128.377,-213.348,302.964,21.8722,-274.461,308.493,93.2502,-64.8068,221.987,-24.2069,129.293,74.8278,-401.922,-118.15,182.048,-336.87,83.2328,69.6352,-389.453,-4.29263,18.4717,-261.173,155.385,32.8455,77.9604,48.0621,19.4504,-87.9454,179.099,40.611
575,0,-285.215,-115.368,781.474,-76.6251,-85.979,808.41,-154.198,-115.368,733.578,-204.625,143.901,720.654,-144.963,-86.5335,604.164,-364.202,178.484,420.189,-8.07713,228.678,426.041,-345.908,-22.5405,887.677,-473.5,-119.104,895.51,-536.983,-252.86,976.43,-56.3517,22.5525,904.451,78.7203,-30.2354,983.434,171.212,-120.849,1060.3,173.174,-182.323,1161.81,190.366,-294.196,1266.47,-519.372,-282.126,1090.24,-480.47,-371.024,1201.41,-210.026,-209.479,1050.22,-101.586,-191.266,1056.9,-400.329,39.6807,353.319,-420.058,-257.608,306.261,-307.684,-300.291,325.872,74.6547,76.8732,322.523,128.284,-213.389,302.978,21.7729,-274.47,308.455,93.1882,-64.8583,221.963,-24.1506,129.269,74.9196,-401.93,-118.171,181.987,-336.929,83.2199,69.6149,-389.441,-4.26789,18.496,-261.143,155.452,32.8719,77.9594,48.0539,19.4368,-87.9091,179.064,40.6223
576,0,-285.132,-115.563,781.075,-76.4856,-86.2325,808.097,-154.235,-115.679,733.418,-204.761,143.664,720.518,-144.968,-86.5802,603.889,-364.145,178.59,419.973,-8.09173,228.708,425.983,-345.84,-22.8168,887.363,-473.598,-119.404,895.226,-537.124,-253.178,975.93,-56.3088,22.3277,904.232,78.6129,-30.5109,983.2,171.229,-121.071,1060.09,173.031,-182.881,1161.54,190.136,-294.625,1266.2,-519.32,-282.566,1089.62,-480.516,-371.658,1200.6,-210.126,-210.098,1049.72,-101.874,-191.739,1056.56,-400.383,39.7274,353.246,-420.064,-257.558,306.254,-307.653,-300.275,325.912,74.4643,76.7958,322.368,128.211,-213.483,302.953,21.5653,-274.489,308.466,93.1197,-64.904,221.997,-24.1621,129.299,74.8948,-401.979,-118.165,181.973,-336.945,83.2684,69.5505,-389.448,-4.29897,18.4669,-261.149,155.542,32.8677,77.9484,48.0496,19.3913,-87.8556,179.077,40.619
577,0,-285.069,-115.684,780.787,-76.3894,-86.436,807.924,-154.389,-115.865,732.826,-204.7,143.447,720.38,-144.911,-86.666,603.7,-364.13,178.588,419.873,-8.10863,228.745,425.942,-345.772,-23.1219,887.156,-473.611,-119.626,894.932,-537.327,-253.584,975.464,-56.3332,22.1238,904.035,78.5014,-30.8745,983.025,171.33,-121.298,1059.98,172.926,-183.15,1161.13,190.32,-294.977,1265.84,-519.498,-283.157,1089.13,-480.641,-372.347,1200.03,-210.319,-210.67,1049.47,-102.133,-192.299,1056.21,-400.381,39.7527,353.145,-420.11,-257.499,306.127,-307.707,-300.184,325.872,74.6306,76.7609,322.453,128.09,-213.581,302.871,21.4202,-274.561,308.442,93.0172,-64.9358,221.937,-24.2073,129.306,74.8684,-401.969,-118.144,181.981,-336.917,83.3874,69.3548,-389.47,-4.27972,18.4677,-261.254,155.432,32.8176,77.9672,48.0145,19.4139,-87.8552,179.169,40.6398
578,0,-285.053,-115.865,780.644,-76.7424,-86.4282,807.818,-154.543,-116.057,732.327,-204.767,143.22,720.328,-145.072,-86.6211,603.399,-364.104,178.612,419.8,-8.0845,228.721,425.954,-345.942,-23.4849,886.848,-473.598,-119.896,894.575,-537.401,-253.972,974.885,-56.3358,22.0156,903.987,78.4409,-31.2044,982.794,171.444,-121.568,1059.78,172.934,-183.385,1160.92,189.825,-295.478,1265.59,-519.685,-283.694,1088.83,-480.529,-372.916,1199.51,-210.527,-210.918,1049.33,-102.43,-192.753,1055.99,-400.335,39.8673,353.099,-419.625,-256.405,306.124,-307.709,-300.127,325.849,74.5685,76.7119,322.292,128.021,-213.596,302.847,21.2558,-274.538,308.297,93.0504,-64.9932,221.916,-24.1984,129.395,74.862,-402.018,-118.102,182.014,-337.083,83.4398,69.3563,-389.499,-4.22431,18.4673,-261.389,155.531,32.8498,77.9283,48.0546,19.3596,-87.819,179.24,40.6485
579,0,-285.187,-116.038,780.526,-76.7234,-86.5889,807.673,-154.37,-116.176,732.227,-204.779,142.994,720.35,-145.086,-86.6932,603.237,-364.022,178.598,419.798,-7.99293,228.688,425.983,-345.926,-23.664,886.641,-473.69,-120.2,894.26,-537.532,-254.345,974.44,-56.358,21.8506,904.005,78.3826,-31.5178,982.69,171.247,-121.965,1059.59,172.794,-183.674,1160.63,189.528,-295.976,1265.36,-519.826,-284.298,1088.19,-480.867,-373.581,1198.99,-210.544,-211.453,1049.08,-102.415,-193.2,1055.88,-400.263,39.9245,353.119,-420.145,-257.161,306.237,-307.744,-300.094,325.796,74.5633,76.5744,322.225,127.861,-213.744,302.727,21.0754,-274.629,308.277,92.9801,-65.0435,221.875,-24.09,129.425,74.912,-402.039,-118.069,181.989,-337.119,83.4899,69.274,-389.539,-4.14507,18.3793,-261.51,155.537,32.828,77.9939,48.0947,19.3437,-87.8073,179.329,40.6456
580,0,-285.159,-116.126,780.369,-76.7047,-86.7723,807.563,-154.416,-116.202,732.043,-204.749,142.936,720.43,-145.196,-86.7627,603.085,-364,178.588,419.846,-7.92935,228.607,426.018,-345.985,-23.9239,886.57,-473.807,-120.507,894.085,-537.594,-254.911,974.364,-56.4755,21.4718,903.921,78.4354,-31.7437,982.627,171.153,-122.312,1059.45,172.627,-184.002,1160.52,189.455,-296.393,1265.15,-520.012,-284.851,1087.83,-480.873,-374.253,1198.49,-210.6,-211.982,1048.86,-102.271,-193.624,1055.77,-400.184,40.0006,353.153,-420.094,-256.836,306.28,-307.813,-300.123,325.814,74.6546,76.5304,322.307,127.732,-213.893,302.688,20.9715,-274.679,308.201,92.9255,-65.104,221.825,-24.0846,129.451,74.9299,-402.155,-118.091,182.02,-337.206,83.5996,69.3118,-389.562,-4.13369,18.3861,-261.554,155.534,32.9305,78.0583,48.1348,19.3217,-87.7808,179.353,40.6663
581,0,-285.207,-116.232,780.229,-76.7989,-86.9047,807.501,-154.421,-116.31,731.991,-204.741,142.769,720.522,-145.36,-86.9376,603.038,-363.948,178.577,419.915,-7.87188,228.549,426.127,-346.005,-24.2379,886.54,-473.842,-120.733,894.002,-537.664,-255.237,974.043,-56.5165,21.2436,903.913,78.4749,-31.9221,982.577,171.019,-122.694,1059.31,172.606,-184.468,1160.42,189.485,-296.692,1264.78,-520.041,-285.253,1087.58,-481.031,-374.931,1197.93,-210.664,-212.443,1048.69,-102.15,-194.049,1055.59,-400.12,40.0963,353.202,-420.179,-256.694,306.352,-307.835,-300.13,325.909,74.596,76.4292,322.316,127.68,-214.005,302.658,20.9007,-274.755,308.236,92.856,-65.1583,221.796,-24.136,129.385,74.8873,-402.172,-118.064,182.067,-337.216,83.5647,69.319,-389.567,-4.13489,18.4001,-261.552,155.598,32.9945,78.06,48.1338,19.319,-87.7505,179.274,40.6723
582,0,-285.242,-116.365,780.106,-76.6517,-87.2307,807.452,-154.537,-116.469,731.955,-204.704,142.662,720.59,-145.446,-87.0281,602.938,-363.933,178.571,420.01,-7.8176,228.5,426.214,-346.074,-24.5655,886.504,-473.798,-121.033,893.91,-537.894,-255.726,973.922,-56.4492,20.8759,903.841,78.389,-32.2784,982.595,171.105,-123.082,1059.27,172.5,-185.012,1160.4,189.184,-297.16,1264.58,-519.983,-285.686,1087.24,-481.186,-375.633,1197.49,-210.748,-212.721,1048.63,-101.985,-194.437,1055.51,-400.088,40.1236,353.282,-420.088,-256.317,306.385,-307.981,-300.092,325.976,74.5554,76.3716,322.435,127.64,-214.129,302.703,20.8029,-274.839,308.242,92.7931,-65.2087,221.779,-24.1399,129.321,74.9653,-402.198,-118.014,182.157,-337.225,83.5619,69.4072,-389.574,-4.15725,18.3726,-261.484,155.59,33.0991,78.0245,48.1192,19.3347,-87.8577,179.231,40.7345
583,0,-285.378,-116.586,780.07,-76.735,-87.4003,807.458,-154.56,-116.623,731.991,-204.671,142.518,720.685,-145.311,-87.1387,602.984,-363.852,178.668,420.112,-7.83333,228.356,426.258,-346.055,-24.7867,886.533,-473.777,-121.234,893.851,-537.697,-255.757,973.659,-56.4871,20.6806,903.849,78.2314,-32.4838,982.661,170.984,-123.386,1059.3,172.271,-185.461,1160.3,189.141,-297.84,1264.59,-519.819,-286.057,1086.97,-480.878,-376.152,1196.99,-210.701,-212.908,1048.53,-101.968,-194.843,1055.46,-400.183,40.1217,353.39,-420.191,-256.26,306.488,-308.208,-300.093,326.005,74.6744,76.3694,322.594,127.593,-214.196,302.716,20.8138,-274.845,308.291,92.8417,-65.3005,221.951,-24.22,129.227,74.9464,-402.268,-118.054,182.189,-337.202,83.5526,69.3688,-389.569,-4.14573,18.3825,-261.454,155.646,33.2328,78.0318,48.0716,19.3593,-87.7623,179.17,40.8245
584,0,-285.374,-116.772,780.025,-76.7778,-87.6372,807.452,-154.604,-116.793,731.983,-204.602,142.425,720.821,-145.321,-87.1278,603.046,-363.857,178.672,420.235,-7.86978,228.305,426.357,-346.029,-25.0179,886.647,-473.818,-121.387,893.809,-537.719,-255.79,973.45,-56.6635,20.1739,903.96,78.2673,-32.7296,982.733,170.968,-123.652,1059.41,172.423,-185.786,1160.26,189.134,-298.236,1264.48,-519.835,-286.554,1086.79,-480.75,-376.706,1196.73,-210.713,-212.984,1048.49,-102.181,-195.195,1055.45,-400.186,40.2181,353.423,-420.155,-255.958,306.45,-308.306,-300.055,326.064,74.6914,76.3162,322.63,127.545,-214.246,302.719,20.814,-274.944,308.322,92.7753,-65.4103,222.012,-24.2545,129.2,75.0045,-402.27,-118.037,182.238,-337.227,83.5395,69.6103,-389.556,-4.2255,18.4124,-261.421,155.672,33.1793,78.0018,48.0687,19.3714,-87.8098,179.127,40.8441
585,0,-285.421,-116.877,779.969,-76.7755,-87.8662,807.494,-154.683,-116.98,732.076,-204.573,142.296,720.967,-145.343,-87.0984,603.209,-363.782,178.66,420.293,-7.92664,228.247,426.469,-346.074,-25.1715,886.726,-473.884,-121.587,893.779,-537.538,-255.99,973.294,-56.8614,19.9351,904.078,78.0796,-32.9399,982.817,170.85,-123.913,1059.41,172.489,-186.225,1160.32,189.079,-298.596,1264.35,-519.985,-287.069,1086.58,-480.777,-377.066,1196.43,-210.765,-213.125,1048.53,-102.279,-195.53,1055.51,-400.31,40.223,353.47,-420.321,-256.067,306.51,-308.4,-300.082,326.103,74.6831,76.3009,322.693,127.486,-214.319,302.732,20.7465,-275.016,308.299,92.7907,-65.4306,222.04,-24.2541,129.15,75.0055,-402.344,-117.986,182.263,-337.278,83.5745,69.6333,-389.543,-4.1811,18.3784,-261.387,155.674,33.2345,77.9948,48.0594,19.3767,-87.8686,179.109,40.8724
586,0,-285.467,-117.01,779.956,-76.8198,-87.9965,807.488,-154.766,-117.067,732.1,-204.549,142.111,721.089,-145.344,-87.1234,603.346,-363.889,178.682,420.416,-7.91764,228.205,426.571,-346.118,-25.3682,886.794,-473.863,-121.727,893.704,-537.408,-256.235,973.088,-56.8727,19.8002,904.109,77.9184,-33.2255,983.008,170.83,-124.153,1059.46,172.298,-186.619,1160.27,188.895,-299.016,1264.32,-519.919,-287.382,1086.48,-480.925,-377.599,1196.23,-210.87,-213.473,1048.64,-102.437,-195.734,1055.57,-400.3,40.3174,353.424,-420.414,-255.953,306.455,-308.55,-300.038,326.09,74.5724,76.2055,322.714,127.529,-214.373,302.711,20.7789,-275.006,308.243,92.775,-65.4515,222.041,-24.2555,129.146,75.048,-402.391,-117.942,182.297,-337.282,83.5454,69.5979,-389.574,-4.14772,18.3788,-261.339,155.69,33.1549,78.0465,48.1136,19.3646,-87.9088,179.102,40.9032
